__UUID4__;44e53045-3338-4a42-acb8-a38a5817b84b
__CREATED-ON__;2021-01-13 13:38:54.295762
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
EVENT;2021-01-13 13:39:56.443720;40.4274;;90;BNC1High
EVENT;2021-01-13 13:39:56.453694;40.4369;;91;BNC1Low
EVENT;2021-01-13 13:39:56.453694;40.437000000000005;;90;BNC1High
EVENT;2021-01-13 13:39:56.453694;40.4371;;91;BNC1Low
EVENT;2021-01-13 13:39:56.453694;40.437200000000004;;90;BNC1High
EVENT;2021-01-13 13:39:56.453694;40.4373;;91;BNC1Low
EVENT;2021-01-13 13:39:56.666285;40.6501;;95;Port1Out
EVENT;2021-01-13 13:39:56.713123;40.6965;;94;Port1In
TRANSITION;2021-01-13 13:39:56.713123;40.6965;;open_valve;
EVENT;2021-01-13 13:39:56.763939;40.746500000000005;;158;Tup
END-TRIAL;2021-01-13 13:39:56.763939;;;The trial ended;
INFO;2021-01-13 13:39:56.763939;21.610278;62.356782;TRIAL-BPOD-TIME;40.746504
STATE;2021-01-13 13:39:56.763939;0;40.0;ITI;40.0
STATE;2021-01-13 13:39:56.763939;40.0;40.6965;trial_start;0.6965000000000003
STATE;2021-01-13 13:39:56.763939;40.6965;40.746500000000005;open_valve;0.05000000000000426
TRIAL;2021-01-13 13:39:56.766932;;;New trial;
EVENT;2021-01-13 13:39:56.824738;0.052500000000000005;;95;Port1Out
EVENT;2021-01-13 13:39:56.916688;0.1443;;94;Port1In
EVENT;2021-01-13 13:39:57.005328;0.23370000000000002;;95;Port1Out
EVENT;2021-01-13 13:39:57.048290;0.2767;;94;Port1In
EVENT;2021-01-13 13:39:57.151096;0.379;;95;Port1Out
EVENT;2021-01-13 13:39:57.194543;0.42210000000000003;;94;Port1In
EVENT;2021-01-13 13:39:57.304367;0.5319;;95;Port1Out
EVENT;2021-01-13 13:39:57.351636;0.5798;;94;Port1In
EVENT;2021-01-13 13:39:57.472394;0.7006;;95;Port1Out
EVENT;2021-01-13 13:39:57.504309;0.7322000000000001;;94;Port1In
EVENT;2021-01-13 13:39:57.628531;0.8565;;95;Port1Out
EVENT;2021-01-13 13:39:57.671416;0.8993;;94;Port1In
EVENT;2021-01-13 13:39:57.790003;1.018;;95;Port1Out
EVENT;2021-01-13 13:39:57.834882;1.0625;;94;Port1In
EVENT;2021-01-13 13:39:57.929629;1.1572;;95;Port1Out
EVENT;2021-01-13 13:39:57.994512;1.2227000000000001;;94;Port1In
EVENT;2021-01-13 13:39:58.093193;1.3213000000000001;;95;Port1Out
EVENT;2021-01-13 13:39:58.180957;1.4094;;94;Port1In
EVENT;2021-01-13 13:39:58.269721;1.497;;95;Port1Out
EVENT;2021-01-13 13:39:58.345517;1.5738;;94;Port1In
EVENT;2021-01-13 13:39:58.429293;1.6577000000000002;;95;Port1Out
EVENT;2021-01-13 13:39:58.508082;1.736;;94;Port1In
EVENT;2021-01-13 13:39:58.601832;1.8291000000000002;;95;Port1Out
EVENT;2021-01-13 13:39:58.669651;1.8978000000000002;;94;Port1In
EVENT;2021-01-13 13:39:58.772375;2.0001;;95;Port1Out
EVENT;2021-01-13 13:39:58.841191;2.0689;;94;Port1In
EVENT;2021-01-13 13:39:58.943917;2.1712000000000002;;95;Port1Out
EVENT;2021-01-13 13:39:59.004755;2.2319;;94;Port1In
EVENT;2021-01-13 13:39:59.135405;2.3637;;95;Port1Out
EVENT;2021-01-13 13:39:59.183277;2.4115;;94;Port1In
EVENT;2021-01-13 13:39:59.299965;2.5286;;95;Port1Out
EVENT;2021-01-13 13:39:59.353820;2.5813;;94;Port1In
EVENT;2021-01-13 13:39:59.479484;2.7074000000000003;;95;Port1Out
EVENT;2021-01-13 13:39:59.517384;2.7454;;94;Port1In
EVENT;2021-01-13 13:39:59.643048;2.8716;;95;Port1Out
EVENT;2021-01-13 13:39:59.698898;2.926;;94;Port1In
EVENT;2021-01-13 13:39:59.818580;3.0467;;95;Port1Out
EVENT;2021-01-13 13:39:59.869471;3.0978000000000003;;94;Port1In
EVENT;2021-01-13 13:39:59.992115;3.2203;;95;Port1Out
EVENT;2021-01-13 13:40:00.040984;3.2698;;94;Port1In
EVENT;2021-01-13 13:40:00.158668;3.3866;;95;Port1Out
EVENT;2021-01-13 13:40:00.224522;3.4524000000000004;;94;Port1In
EVENT;2021-01-13 13:40:00.712188;3.9399;;95;Port1Out
EVENT;2021-01-13 13:40:00.740113;3.9684000000000004;;94;Port1In
EVENT;2021-01-13 13:40:16.772268;20.0;;158;Tup
TRANSITION;2021-01-13 13:40:16.772268;20.0;;trial_start;
SOFTCODE;2021-01-13 13:40:16.772268;;;1;
EVENT;2021-01-13 13:40:17.229018;20.4573;;90;BNC1High
EVENT;2021-01-13 13:40:17.238991;20.467200000000002;;91;BNC1Low
EVENT;2021-01-13 13:40:17.473364;20.7006;;95;Port1Out
EVENT;2021-01-13 13:40:17.507273;20.735500000000002;;94;Port1In
TRANSITION;2021-01-13 13:40:17.507273;20.735500000000002;;open_valve;
EVENT;2021-01-13 13:40:17.557140;20.785500000000003;;158;Tup
END-TRIAL;2021-01-13 13:40:17.558137;;;The trial ended;
INFO;2021-01-13 13:40:17.558137;62.365879;83.151381;TRIAL-BPOD-TIME;20.785502
STATE;2021-01-13 13:40:17.558137;0;20.0;ITI;20.0
STATE;2021-01-13 13:40:17.558137;20.0;20.735500000000002;trial_start;0.7355000000000018
STATE;2021-01-13 13:40:17.558137;20.735500000000002;20.785500000000003;open_valve;0.05000000000000071
TRIAL;2021-01-13 13:40:17.560133;;;New trial;
EVENT;2021-01-13 13:40:17.625956;0.061000000000000006;;95;Port1Out
EVENT;2021-01-13 13:40:17.723694;0.1574;;94;Port1In
EVENT;2021-01-13 13:40:17.814451;0.24860000000000002;;95;Port1Out
EVENT;2021-01-13 13:40:17.860329;0.2948;;94;Port1In
EVENT;2021-01-13 13:40:17.966046;0.4007;;95;Port1Out
EVENT;2021-01-13 13:40:18.008931;0.4435;;94;Port1In
EVENT;2021-01-13 13:40:18.133599;0.5677;;95;Port1Out
EVENT;2021-01-13 13:40:18.168506;0.6025;;94;Port1In
EVENT;2021-01-13 13:40:18.296165;0.7304;;95;Port1Out
EVENT;2021-01-13 13:40:18.327081;0.7619;;94;Port1In
EVENT;2021-01-13 13:40:18.459726;0.8938;;95;Port1Out
EVENT;2021-01-13 13:40:18.497625;0.9319000000000001;;94;Port1In
EVENT;2021-01-13 13:40:18.627278;1.0619;;95;Port1Out
EVENT;2021-01-13 13:40:18.672158;1.1064;;94;Port1In
EVENT;2021-01-13 13:40:18.791838;1.2253;;95;Port1Out
EVENT;2021-01-13 13:40:18.835721;1.2698;;94;Port1In
EVENT;2021-01-13 13:40:18.958392;1.3923;;95;Port1Out
EVENT;2021-01-13 13:40:18.989310;1.4238000000000002;;94;Port1In
EVENT;2021-01-13 13:40:19.091038;1.5262;;95;Port1Out
EVENT;2021-01-13 13:40:19.149880;1.5836000000000001;;94;Port1In
EVENT;2021-01-13 13:40:19.264574;1.6988;;95;Port1Out
EVENT;2021-01-13 13:40:19.310452;1.7449000000000001;;94;Port1In
EVENT;2021-01-13 13:40:19.392232;1.8270000000000002;;95;Port1Out
EVENT;2021-01-13 13:40:19.471022;1.9056000000000002;;94;Port1In
EVENT;2021-01-13 13:40:19.577736;2.0115000000000003;;95;Port1Out
EVENT;2021-01-13 13:40:19.616633;2.0512;;94;Port1In
EVENT;2021-01-13 13:40:19.700408;2.1350000000000002;;95;Port1Out
EVENT;2021-01-13 13:40:19.764238;2.1989;;94;Port1In
EVENT;2021-01-13 13:40:19.852003;2.2866;;95;Port1Out
EVENT;2021-01-13 13:40:19.924808;2.3585000000000003;;94;Port1In
EVENT;2021-01-13 13:40:20.019555;2.4535;;95;Port1Out
EVENT;2021-01-13 13:40:20.089369;2.5239000000000003;;94;Port1In
EVENT;2021-01-13 13:40:20.193090;2.628;;95;Port1Out
EVENT;2021-01-13 13:40:20.259911;2.6951;;94;Port1In
EVENT;2021-01-13 13:40:20.346680;2.7809;;95;Port1Out
EVENT;2021-01-13 13:40:20.428461;2.8627000000000002;;94;Port1In
EVENT;2021-01-13 13:40:20.517224;2.9519;;95;Port1Out
EVENT;2021-01-13 13:40:20.589063;3.0239000000000003;;94;Port1In
EVENT;2021-01-13 13:40:20.686772;3.1206;;95;Port1Out
EVENT;2021-01-13 13:40:20.756583;3.1910000000000003;;94;Port1In
EVENT;2021-01-13 13:40:20.877260;3.3119;;95;Port1Out
EVENT;2021-01-13 13:40:20.938098;3.3724000000000003;;94;Port1In
EVENT;2021-01-13 13:40:21.044842;3.4782;;95;Port1Out
EVENT;2021-01-13 13:40:21.106649;3.5404;;94;Port1In
EVENT;2021-01-13 13:40:21.212365;3.6462000000000003;;95;Port1Out
EVENT;2021-01-13 13:40:21.271207;3.7052;;94;Port1In
EVENT;2021-01-13 13:40:21.374930;3.8092;;95;Port1Out
EVENT;2021-01-13 13:40:21.435768;3.8699000000000003;;94;Port1In
EVENT;2021-01-13 13:40:21.537495;3.972;;95;Port1Out
EVENT;2021-01-13 13:40:21.598332;4.0327;;94;Port1In
EVENT;2021-01-13 13:40:21.702056;4.1367;;95;Port1Out
EVENT;2021-01-13 13:40:21.763890;4.1975;;94;Port1In
EVENT;2021-01-13 13:40:21.898530;4.3329;;95;Port1Out
EVENT;2021-01-13 13:40:21.936429;4.371;;94;Port1In
EVENT;2021-01-13 13:40:22.070072;4.5045;;95;Port1Out
EVENT;2021-01-13 13:40:22.107970;4.542400000000001;;94;Port1In
EVENT;2021-01-13 13:40:22.254577;4.6889;;95;Port1Out
EVENT;2021-01-13 13:40:22.278514;4.7123;;94;Port1In
EVENT;2021-01-13 13:40:28.410146;10.8442;;95;Port1Out
EVENT;2021-01-13 13:40:28.501870;10.935400000000001;;94;Port1In
EVENT;2021-01-13 13:40:28.599610;11.033900000000001;;95;Port1Out
EVENT;2021-01-13 13:40:28.663440;11.097900000000001;;94;Port1In
EVENT;2021-01-13 13:40:42.979154;25.4129;;95;Port1Out
EVENT;2021-01-13 13:40:43.111800;25.5458;;94;Port1In
EVENT;2021-01-13 13:40:47.565889;30.0;;158;Tup
TRANSITION;2021-01-13 13:40:47.566887;30.0;;trial_start;
SOFTCODE;2021-01-13 13:40:47.566887;;;1;
EVENT;2021-01-13 13:40:47.998068;30.4327;;90;BNC1High
EVENT;2021-01-13 13:40:48.008044;30.4421;;91;BNC1Low
EVENT;2021-01-13 13:40:48.009041;30.4422;;90;BNC1High
EVENT;2021-01-13 13:40:48.009041;30.442300000000003;;91;BNC1Low
EVENT;2021-01-13 13:40:48.009041;30.442400000000003;;90;BNC1High
EVENT;2021-01-13 13:40:48.009041;30.442500000000003;;91;BNC1Low
EVENT;2021-01-13 13:40:48.226483;30.66;;95;Port1Out
EVENT;2021-01-13 13:40:48.277348;30.7115;;94;Port1In
TRANSITION;2021-01-13 13:40:48.277348;30.7115;;open_valve;
EVENT;2021-01-13 13:40:48.327247;30.7615;;158;Tup
END-TRIAL;2021-01-13 13:40:48.327247;;;The trial ended;
INFO;2021-01-13 13:40:48.327247;83.159178;113.920681;TRIAL-BPOD-TIME;30.761503000000005
STATE;2021-01-13 13:40:48.328243;0;30.0;ITI;30.0
STATE;2021-01-13 13:40:48.328243;30.0;30.7115;trial_start;0.7115000000000009
STATE;2021-01-13 13:40:48.328243;30.7115;30.7615;open_valve;0.05000000000000071
TRIAL;2021-01-13 13:40:48.329250;;;New trial;
EVENT;2021-01-13 13:40:48.385514;0.0504;;95;Port1Out
EVENT;2021-01-13 13:40:48.466360;0.1321;;94;Port1In
EVENT;2021-01-13 13:40:48.543447;0.2083;;95;Port1Out
EVENT;2021-01-13 13:40:48.603287;0.269;;94;Port1In
EVENT;2021-01-13 13:40:48.725959;0.3914;;95;Port1Out
EVENT;2021-01-13 13:40:48.767855;0.43260000000000004;;94;Port1In
EVENT;2021-01-13 13:40:48.893576;0.5587;;95;Port1Out
EVENT;2021-01-13 13:40:48.934467;0.6;;94;Port1In
EVENT;2021-01-13 13:40:49.055147;0.7205;;95;Port1Out
EVENT;2021-01-13 13:40:49.096047;0.7618;;94;Port1In
EVENT;2021-01-13 13:40:49.213801;0.8787;;95;Port1Out
EVENT;2021-01-13 13:40:49.259253;0.9247000000000001;;94;Port1In
EVENT;2021-01-13 13:40:49.352005;1.0176;;95;Port1Out
EVENT;2021-01-13 13:40:49.416832;1.0813000000000001;;94;Port1In
EVENT;2021-01-13 13:40:49.505595;1.1704;;95;Port1Out
EVENT;2021-01-13 13:40:49.580394;1.2454;;94;Port1In
EVENT;2021-01-13 13:40:49.673147;1.3385;;95;Port1Out
EVENT;2021-01-13 13:40:49.754927;1.4202000000000001;;94;Port1In
EVENT;2021-01-13 13:40:49.851668;1.5168000000000001;;95;Port1Out
EVENT;2021-01-13 13:40:49.915499;1.5805;;94;Port1In
EVENT;2021-01-13 13:40:50.751264;2.4162;;95;Port1Out
EVENT;2021-01-13 13:40:50.782180;2.4478;;94;Port1In
EVENT;2021-01-13 13:40:50.905849;2.5703;;95;Port1Out
EVENT;2021-01-13 13:40:50.960703;2.6261;;94;Port1In
EVENT;2021-01-13 13:40:51.068414;2.7338;;95;Port1Out
EVENT;2021-01-13 13:40:51.130281;2.7961;;94;Port1In
EVENT;2021-01-13 13:40:51.223000;2.8889;;95;Port1Out
EVENT;2021-01-13 13:40:51.298798;2.9641;;94;Port1In
EVENT;2021-01-13 13:40:51.434436;3.0996;;95;Port1Out
EVENT;2021-01-13 13:40:51.482307;3.1475;;94;Port1In
EVENT;2021-01-13 13:40:58.832651;10.4977;;95;Port1Out
EVENT;2021-01-13 13:40:58.873541;10.539;;94;Port1In
EVENT;2021-01-13 13:41:08.335238;20.0;;158;Tup
TRANSITION;2021-01-13 13:41:08.335238;20.0;;trial_start;
SOFTCODE;2021-01-13 13:41:08.335238;;;1;
EVENT;2021-01-13 13:41:08.783040;20.4485;;90;BNC1High
EVENT;2021-01-13 13:41:08.793014;20.458000000000002;;91;BNC1Low
EVENT;2021-01-13 13:41:08.794011;20.4581;;90;BNC1High
EVENT;2021-01-13 13:41:08.794011;20.4582;;91;BNC1Low
EVENT;2021-01-13 13:41:08.794011;20.4583;;90;BNC1High
EVENT;2021-01-13 13:41:08.794011;20.4584;;91;BNC1Low
EVENT;2021-01-13 13:41:09.201921;20.866200000000003;;95;Port1Out
EVENT;2021-01-13 13:41:09.244806;20.909100000000002;;94;Port1In
TRANSITION;2021-01-13 13:41:09.244806;20.909100000000002;;open_valve;
EVENT;2021-01-13 13:41:09.294674;20.9591;;158;Tup
END-TRIAL;2021-01-13 13:41:09.294674;;;The trial ended;
INFO;2021-01-13 13:41:09.295670;113.927778;134.886882;TRIAL-BPOD-TIME;20.95910400000001
STATE;2021-01-13 13:41:09.295670;0;20.0;ITI;20.0
STATE;2021-01-13 13:41:09.295670;20.0;20.909100000000002;trial_start;0.9091000000000022
STATE;2021-01-13 13:41:09.295670;20.909100000000002;20.9591;open_valve;0.04999999999999716
TRIAL;2021-01-13 13:41:09.297664;;;New trial;
EVENT;2021-01-13 13:41:09.335563;0.032600000000000004;;95;Port1Out
EVENT;2021-01-13 13:41:09.424325;0.1222;;94;Port1In
EVENT;2021-01-13 13:41:09.506107;0.20420000000000002;;95;Port1Out
EVENT;2021-01-13 13:41:09.564949;0.2616;;94;Port1In
EVENT;2021-01-13 13:41:09.680024;0.3784;;95;Port1Out
